m_phi,k_rot,N_total,N_A,N_B,N_C,P_A,P_B,P_C
0.3,0.0,40,14,0,26,0.35,0.0,0.65
0.3,0.08333333333333333,40,0,0,40,0.0,0.0,1.0
0.3,0.16666666666666666,40,0,0,40,0.0,0.0,1.0
0.3,0.25,40,0,0,40,0.0,0.0,1.0
0.3,0.3333333333333333,40,0,0,40,0.0,0.0,1.0
0.3,0.41666666666666663,40,0,0,40,0.0,0.0,1.0
0.3,0.5,40,0,0,40,0.0,0.0,1.0
0.75,0.0,40,12,0,28,0.3,0.0,0.7
0.75,0.08333333333333333,40,12,0,28,0.3,0.0,0.7
0.75,0.16666666666666666,40,13,0,27,0.325,0.0,0.675
0.75,0.25,40,13,0,27,0.325,0.0,0.675
0.75,0.3333333333333333,40,13,0,27,0.325,0.0,0.675
0.75,0.41666666666666663,40,14,0,26,0.35,0.0,0.65
0.75,0.5,40,14,0,26,0.35,0.0,0.65
1.2,0.0,40,11,0,29,0.275,0.0,0.725
1.2,0.08333333333333333,40,12,0,28,0.3,0.0,0.7
1.2,0.16666666666666666,40,14,0,26,0.35,0.0,0.65
1.2,0.25,40,15,0,25,0.375,0.0,0.625
1.2,0.3333333333333333,40,16,0,24,0.4,0.0,0.6
1.2,0.41666666666666663,40,17,0,23,0.425,0.0,0.575
1.2,0.5,40,18,0,22,0.45,0.0,0.55
1.6500000000000001,0.0,40,19,0,21,0.475,0.0,0.525
1.6500000000000001,0.08333333333333333,40,18,0,22,0.45,0.0,0.55
1.6500000000000001,0.16666666666666666,40,18,0,22,0.45,0.0,0.55
1.6500000000000001,0.25,40,17,0,23,0.425,0.0,0.575
1.6500000000000001,0.3333333333333333,40,16,0,24,0.4,0.0,0.6
1.6500000000000001,0.41666666666666663,40,16,0,24,0.4,0.0,0.6
1.6500000000000001,0.5,40,15,0,25,0.375,0.0,0.625
2.1,0.0,40,21,0,19,0.525,0.0,0.475
2.1,0.08333333333333333,40,21,0,19,0.525,0.0,0.475
2.1,0.16666666666666666,40,21,0,19,0.525,0.0,0.475
2.1,0.25,40,21,0,19,0.525,0.0,0.475
2.1,0.3333333333333333,40,21,0,19,0.525,0.0,0.475
2.1,0.41666666666666663,40,22,0,18,0.55,0.0,0.45
2.1,0.5,40,22,0,18,0.55,0.0,0.45
2.55,0.0,40,24,0,16,0.6,0.0,0.4
2.55,0.08333333333333333,40,24,0,16,0.6,0.0,0.4
2.55,0.16666666666666666,40,25,0,15,0.625,0.0,0.375
2.55,0.25,40,25,0,15,0.625,0.0,0.375
2.55,0.3333333333333333,40,25,0,15,0.625,0.0,0.375
2.55,0.41666666666666663,40,25,0,15,0.625,0.0,0.375
2.55,0.5,40,25,0,15,0.625,0.0,0.375
3.0,0.0,40,33,0,7,0.825,0.0,0.175
3.0,0.08333333333333333,40,33,0,7,0.825,0.0,0.175
3.0,0.16666666666666666,40,33,0,7,0.825,0.0,0.175
3.0,0.25,40,33,0,7,0.825,0.0,0.175
3.0,0.3333333333333333,40,33,0,7,0.825,0.0,0.175
3.0,0.41666666666666663,40,33,0,7,0.825,0.0,0.175
3.0,0.5,40,33,0,7,0.825,0.0,0.175
